Name,Symbol,Price (USD),Volume (USD),Market capacity (USD),Change (1h),Change (24h),Change (7d)
DIA,DIA,$1.34,"$17,271,001","$183,911,414",2.99%,-12.77%,30.37%
Augur,REP,$13.13,"$7,363,202","$144,402,009",0.30%,-3.70%,-2.04%
Lisk,LSK,$1.10,"$2,124,329","$138,612,885",0.61%,-2.66%,1.97%
Decred,DCR,$11.38,"$2,598,052","$138,030,462",1.46%,-3.72%,-1.34%
Quant,QNT,$11.35,"$2,903,916","$136,966,795",3.77%,3.13%,33.96%
Bitcoin Gold,BTG,$7.75,"$4,608,795","$135,767,640",0.27%,-2.55%,1.30%
Siacoin,SC,$0.003009,"$1,907,297","$134,636,533",0.16%,-4.76%,10.83%
Arweave,AR,$3.96,"$5,719,967","$132,385,933",-2.72%,-5.42%,4.87%
HUSD,HUSD,$1.00,"$29,672,462","$129,784,474",-0.03%,-0.04%,-0.10%
Ocean Protocol,OCEAN,$0.357554,"$7,371,453","$128,410,952",2.60%,-4.94%,23.83%
CyberVein,CVT,$0.119833,"$715,491","$127,071,177",0.11%,-7.53%,4.24%
Enjin Coin,ENJ,$0.154173,"$5,680,581","$126,607,261",1.52%,-1.24%,4.98%
Band Protocol,BAND,$6.19,"$97,771,461","$126,756,292",2.55%,-7.67%,17.15%
Terra,LUNA,$0.325450,"$2,868,647","$125,890,109",1.42%,0.15%,9.73%
Revain,REV,$0.010461,"$432,650","$120,139,927",-0.15%,-0.12%,-0.29%
ZB Token,ZB,$0.259187,"$9,687,323","$120,078,243",1.23%,-1.56%,-2.79%
The Midas Touch Gold,TMTG,$0.021387,"$9,532,582","$119,116,397",1.22%,0.69%,3.40%
Blockstack,STX,$0.170505,"$800,892","$111,218,358",1.57%,0.53%,17.82%
Decentraland,MANA,$0.074074,"$10,369,431","$109,894,332",-0.27%,-3.26%,5.67%
Aragon,ANT,$3.28,"$12,812,703","$108,665,624",-0.20%,-7.06%,0.82%
Nano,NANO,$0.806172,"$5,134,734","$107,421,055",-0.20%,-0.02%,9.31%
Elrond,EGLD,$7.80,"$6,233,927","$106,917,797",0.00%,-1.98%,4.98%
Reserve Rights,RSR,$0.010905,"$74,624,503","$101,960,316",-3.28%,3.09%,35.37%
Avalanche,AVAX,$4.12,"$8,532,495","$101,034,961",1.44%,-1.70%,16.87%
Storj,STORJ,$0.502912,"$38,654,385","$100,229,520",1.21%,-10.27%,8.53%
Solana,SOL,$2.28,"$10,153,958","$99,031,517",1.31%,-2.67%,2.72%
Nervos Network,CKB,$0.004643,"$10,337,610","$97,650,249",2.93%,0.40%,2.00%
Bitcoin Diamond,BCD,$0.523375,"$2,290,246","$97,605,655",0.20%,-2.07%,0.88%
Numeraire,NMR,$29.94,"$4,698,651","$97,277,141",1.73%,0.19%,10.14%
DxChain Token,DX,$0.001893,"$254,608","$94,659,101",0.64%,-3.07%,-6.12%
Golem,GNT,$0.096973,"$6,795,350","$96,067,895",0.05%,-7.13%,11.65%
Swipe,SXP,$1.23,"$55,201,322","$94,513,911",0.90%,-0.27%,6.54%
Balancer,BAL,$13.43,"$39,265,876","$93,268,579",-1.55%,-9.79%,-7.99%
Ravencoin,RVN,$0.012817,"$7,872,336","$93,024,262",0.07%,-2.69%,0.07%
Orchid,OXT,$0.247809,"$5,553,262","$91,090,655",1.63%,-4.02%,1.47%
SushiSwap,SUSHI,$0.700434,"$44,934,928","$91,225,510",2.56%,-5.37%,4.93%
Bytom,BTM,$0.064526,"$9,315,451","$89,032,493",-0.05%,-1.65%,3.59%
IOST,IOST,$0.005721,"$41,050,116","$87,046,964",1.52%,-4.08%,8.68%
Bancor,BNT,$1.24,"$62,446,591","$85,484,269",0.62%,-4.87%,17.90%
Status,SNT,$0.024330,"$6,191,326","$84,436,745",0.65%,-2.35%,0.06%
THORChain,RUNE,$0.522518,"$5,562,527","$82,783,544",0.57%,-7.84%,22.23%
Holo,HOT,$0.000487,"$4,323,488","$81,034,713",-0.70%,-1.37%,5.45%
DFI.Money,YFII,"$2,116.59","$233,379,366","$81,692,053",3.81%,-4.81%,56.25%
MonaCoin,MONA,$1.24,"$894,173","$81,190,276",0.09%,-1.17%,1.94%
Ampleforth,AMPL,$0.867550,"$1,655,283","$78,442,345",1.12%,1.23%,22.67%
Kava.io,KAVA,$2.32,"$20,539,243","$77,779,784",2.13%,-0.74%,24.60%
Nexo,NEXO,$0.135537,"$7,287,734","$75,900,930",1.55%,5.50%,9.87%
Divi,DIVI,$0.037429,"$360,575","$72,842,996",0.41%,3.65%,-4.24%
iExec RLC,RLC,$0.903104,"$8,449,905","$72,312,243",0.87%,-12.28%,18.87%
Serum,SRM,$1.44,"$101,926,098","$71,930,797",1.05%,7.24%,20.48%
KuCoin Shares,KCS,$0.886781,"$5,641,628","$71,588,408",0.71%,2.21%,4.87%
Verge,XVG,$0.004352,"$1,717,313","$71,246,932",-0.89%,-3.68%,10.65%
SwissBorg,CHSB,$0.076878,"$356,166","$70,990,273",0.28%,-3.72%,7.60%
Velas,VLX,$0.049457,"$4,364,131","$69,815,303",0.82%,1.80%,-1.50%
Hive,HIVE,$0.173332,"$21,219,308","$69,685,530",-3.85%,11.74%,24.50%
Helium,HNT,$1.35,"$2,373,067","$68,015,226",0.18%,1.55%,12.65%
Komodo,KMD,$0.547702,"$2,772,475","$66,981,853",0.35%,-1.66%,4.33%
PAX Gold,PAXG,"$1,894.45","$1,345,271","$65,652,702",-0.17%,-0.76%,0.08%
Matic Network,MATIC,$0.017134,"$7,626,563","$65,635,499",1.91%,-2.95%,7.36%
MCO,MCO,$4.11,"$2,669,757","$64,840,096",0.41%,-1.43%,2.50%
Horizen,ZEN,$6.23,"$3,478,556","$63,267,212",6.51%,-0.07%,21.00%
JUST,JST,$0.027578,"$56,654,136","$62,335,436",0.95%,-3.09%,-0.01%
Steem,STEEM,$0.160035,"$3,865,863","$61,847,382",0.68%,-3.14%,4.05%
Penta,PNT,$0.002850,"$1,502,349","$59,888,729",-3.23%,2.97%,3.91%
RSK Infrastructure Framework,RIF,$0.092445,"$396,283","$60,650,720",-0.70%,0.14%,13.40%
Fantom,FTM,$0.027677,"$8,975,149","$59,087,640",1.06%,-4.96%,6.85%
BitShares,BTS,$0.019304,"$4,173,852","$57,861,695",1.23%,-0.05%,1.58%
Hyperion,HYN,$0.180934,"$947,803","$57,313,609",1.37%,-6.85%,-2.79%
TomoChain,TOMO,$0.740253,"$11,515,122","$56,052,395",1.06%,-5.93%,7.23%
Utrust,UTK,$0.124221,"$2,955,626","$55,899,495",0.13%,-6.31%,0.31%
IRISnet,IRIS,$0.065029,"$4,271,194","$55,019,114",2.81%,-5.96%,19.15%
WAX,WAXP,$0.039033,"$624,736","$53,340,293",0.20%,-2.61%,-5.91%
Chiliz,CHZ,$0.010680,"$4,796,454","$52,555,612",0.00%,-2.29%,4.36%
Electroneum,ETN,$0.005083,"$789,787","$51,844,572",-0.12%,-4.18%,-1.28%
aelf,ELF,$0.093469,"$9,762,372","$50,892,130",1.88%,-2.05%,2.08%
HyperCash,HC,$1.12,"$20,581,659","$50,292,485",1.56%,0.99%,4.56%
Gnosis,GNO,$44.76,"$657,752","$49,439,254",0.46%,-4.41%,14.36%
Ardor,ARDR,$0.049038,"$1,854,806","$48,989,306",1.71%,-4.29%,5.48%
Energi,NRG,$1.44,"$1,367,119","$49,034,157",-2.36%,-2.78%,15.19%
Uquid Coin,UQC,$4.23,"$5,445,411","$42,284,553",0.59%,-13.31%,-8.67%
Wanchain,WAN,$0.254883,"$749,462","$48,172,843",0.27%,-4.38%,7.56%
MXC,MXC,$0.018071,"$6,398,119","$46,873,892",0.14%,-4.04%,-9.15%
Handshake,HNS,$0.148792,"$889,875","$46,828,236",0.89%,-0.18%,-2.72%
Unibright,UBT,$0.310613,"$1,148,629","$46,219,185",0.45%,1.65%,0.61%
Ankr,ANKR,$0.007850,"$24,452,020","$45,761,065",0.50%,-8.41%,26.69%
Stratis,STRAT,$0.446430,"$1,103,263","$44,640,974",0.95%,-0.67%,9.32%
Curve DAO Token,CRV,$0.497128,"$23,518,025","$44,689,239",1.91%,-3.11%,-0.40%
Zcoin,XZC,$4.01,"$6,865,653","$44,517,386",0.75%,-3.44%,12.46%
Enigma,ENG,$0.565252,"$2,332,609","$42,301,282",-2.06%,-2.25%,-2.68%
v.systems,VSYS,$0.018979,"$1,965,360","$40,082,262",0.16%,-1.47%,1.98%
GateToken,GT,$0.513103,"$23,403,157","$39,960,840",-1.19%,-3.43%,0.46%
SOLVE,SOLVE,$0.118438,"$1,679,284","$40,345,952",5.34%,13.04%,14.74%
MaidSafeCoin,MAID,$0.087867,"$294,063","$39,764,348",2.39%,3.86%,5.68%
WaykiChain,WICC,$0.207478,"$24,383,305","$39,213,270",1.30%,-4.02%,-4.06%
Pundi X,NPXS,$0.000164,"$1,381,857","$38,506,501",0.28%,-4.54%,7.00%
Hxro,HXRO,$0.220979,"$245,511","$38,218,298",0.43%,0.26%,3.26%
Fetch.ai,FET,$0.049964,"$3,896,260","$37,278,897",1.06%,-4.11%,10.98%
Aion,AION,$0.079603,"$2,900,069","$37,272,062",2.19%,-6.54%,10.83%
Theta Fuel,TFUEL,$0.009613,"$1,812,033","$36,896,399",-0.03%,-2.17%,3.14%
STASIS EURO,EURS,$1.15,"$1,048,458","$36,847,373",-0.48%,-0.56%,0.07%
Ark,ARK,$0.292949,"$1,265,119","$36,469,414",-0.13%,-3.79%,8.58%
xDai,STAKE,$12.29,"$5,680,872","$36,374,692",-0.61%,-8.60%,12.73%
Aeternity,AE,$0.112100,"$7,187,481","$36,180,545",0.24%,-2.70%,2.65%
Super Zero Protocol,SERO,$0.121883,"$5,313,799","$35,774,107",-2.37%,-5.42%,23.15%
Power Ledger,POWR,$0.082175,"$682,203","$34,847,836",0.33%,-3.60%,6.21%
ShareToken,SHR,$0.023462,"$4,595,858","$34,858,158",0.00%,0.37%,18.74%
SingularityNET,AGI,$0.041030,"$197,524","$34,542,456",0.20%,-5.44%,6.88%
Aurora,AOA,$0.005237,"$1,883,637","$34,261,271",-0.02%,-2.17%,-5.89%
OriginTrail,TRAC,$0.105858,"$112,973","$33,867,451",-2.70%,-2.93%,-10.93%
Harmony,ONE,$0.005107,"$4,309,547","$31,945,256",1.59%,-6.96%,4.14%
Melon,MLN,$21.98,"$2,066,401","$31,921,051",-1.06%,-4.40%,0.32%
Tellor,TRB,$20.64,"$34,335,310","$30,952,837",2.97%,-10.81%,35.49%
Flexacoin,FXC,$0.004148,"$584,268","$31,560,658",4.33%,-43.76%,-12.69%
IoTeX,IOTX,$0.006329,"$9,656,884","$30,530,835",1.57%,-6.42%,-4.16%
Kleros,PNK,$0.054071,"$3,357,729","$29,912,452",-1.45%,-5.14%,-3.22%
Orbs,ORBS,$0.013356,"$1,044,942","$29,787,055",-4.12%,3.84%,9.22%
GXChain,GXC,$0.415081,"$13,207,004","$29,055,670",0.06%,-1.89%,0.68%
Akropolis,AKRO,$0.014481,"$12,393,767","$28,901,616",1.88%,-7.14%,76.39%
DAD,DAD,$0.214911,"$1,790,269","$28,927,438",0.50%,0.03%,2.93%
Streamr,DATA,$0.042179,"$1,501,717","$28,847,870",1.09%,4.34%,3.46%
Wirex Token,WXT,$0.009554,"$821,516","$28,667,538",-0.54%,-0.76%,5.31%
Xensor,XSR,$0.006058,"$3,083,955","$28,098,286",-1.10%,-1.10%,-1.63%
Digitex Futures,DGTX,$0.029998,"$2,350,395","$27,928,910",-0.18%,0.77%,-2.69%
BOSAGORA,BOA,$0.100870,"$3,115,936","$28,457,315",6.49%,24.73%,50.55%
Elastos,ELA,$1.61,"$837,124","$27,785,696",0.25%,-1.75%,-2.12%
Syscoin,SYS,$0.046302,"$416,610","$27,678,315",0.75%,-5.88%,5.32%
Thunder Token,TT,$0.004663,"$5,071,432","$27,456,603",0.79%,0.96%,0.89%
Ultra,UOS,$0.096941,"$553,499","$27,091,323",-0.80%,-3.47%,-1.71%
Waltonchain,WTC,$0.389755,"$2,629,836","$27,148,600",-0.16%,-8.62%,5.20%
Voyager Token,VGX,$0.119684,"$575,296","$26,605,137",2.26%,8.06%,18.67%
Filecoin,FIL,$110.91,"$20,153,825","$1,613,353,499",11.21%,270.96%,461.64%
HEX,HEX,$0.004105,"$1,866,817","$1,516,440,124",0.38%,0.52%,0.99%
